n	m	l	a	b	sgm	S	tr	tg	td	nll
4	117	72733868	0.003662	1.61416	19.590454	1541.15625	0.421713	0.004522	0.081854	7647.795618
4	53	56892331	37.91748	1.221484	10.007324	543.875	0.189186	0.022852	0.041567	7662.440453
4	104	63955422	21.560726	1.315721	18.875818	1257.17688	0.256875	0.007534	0.076862	7644.7382
4	112	112276345	37.81723	0.938837	18.111382	1681.539062	0.241165	0.149962	0.032496	7591.160719
4	96	50176246	17.406827	1.173095	19.290189	415.530487	0.091918	0.001098	0.06084	7669.263286
4	45	91679653	25.01238	1.160122	20.049502	1316.410492	0.173287	0.158923	0.022578	7576.090311
4	91	114364985	27.652087	1.241496	17.379456	892.792145	0.186972	0.005848	0.074453	7640.95334
4	75	90063465	0.176418	1.431731	32.264309	502.629944	0.037136	0.051115	0.081524	7630.069655
4	113	63490143	30.595093	1.058008	16.334839	603.375	0.062699	0.213686	0.001642	7567.585333
4	56	89658424	23.189495	1.249307	21.136937	920.85778	0.112673	0.134327	0.043817	7579.844051
4	89	131125978	23.611575	0.923112	21.368219	3337.722229	0.461861	0.002012	0.078207	7713.344986
4	101	70948468	40.644858	1.035408	15.602638	726.360779	0.078141	0.227558	0.040025	7575.154345
4	120	120678012	42.152023	0.994883	15.460987	501.156372	0.089321	0.012944	0.075339	7661.979327
4	77	102498212	30.475338	1.119231	17.990927	662.822235	0.059814	0.22372	0.024369	7570.377232
4	73	96634728	30.020585	1.170649	19.343653	920.52063	0.102395	0.180174	0.039278	7575.539455
4	64	135763527	21.030829	1.309462	19.350729	1013.748291	0.182481	0.04904	0.063938	7629.459602
4	41	64995546	16.411915	1.267289	22.656028	1370.244995	0.184457	0.133815	0.028859	7580.655201
4	59	114588395	0.000057	1.506943	21.863871	1025.230957	0.161561	0.144035	0.003867	7553.213672
4	99	97150118	67.761648	0.767599	12.382429	767.720337	0.145196	0.001	0.079347	7642.648744
4	107	145711590	50.098518	1.00221	13.389685	635.594322	0.131207	0.015611	0.074253	7637.720141
4	61	121043811	38.575823	1.071423	16.095548	664.071289	0.058935	0.224148	0.056143	7582.449655
4	81	111438430	7.746674	1.431039	21.853607	1169.401787	0.204484	0.105546	0.029493	7576.558055
4	51	128224460	39.282064	0.995777	16.476154	1180.188576	0.171336	0.170123	0.024176	7574.529048
4	105	72435254	35.298378	1.08887	18.491414	844.166199	0.097925	0.178872	0.040396	7574.206478
4	48	125656778	46.607172	0.977439	14.193769	668.380493	0.082197	0.221773	0.051148	7580.07467
4	115	143371123	11.937365	1.341108	19.943741	924.781021	0.147619	0.141015	0.002795	7561.450955
4	65	117527376	69.999962	0.794847	9.667597	525.582031	0.126106	0.02278	0.065425	7623.097898
4	69	111091793	58.915143	0.91694	13.153892	609.354736	0.107337	0.001253	0.106215	7647.834252
4	83	146899804	2.000427	1.468835	19.973907	1004.507812	0.203891	0.122699	0.001921	7553.273927
4	80	48725938	55.740615	0.62698	13.97677	1828.891327	0.272697	0.204195	0.031719	7584.393097
4	140	95406240	0.000229	1.510968	22.276764	779.208984	0.185263	0.001295	0.07735	7631.242541
4	124	103818286	0.000057	1.583696	23.286867	1042.959961	0.215883	0.032282	0.077995	7621.521174
4	129	110515573	0.000004	1.529135	25.368357	1188.488098	0.163088	0.12099	0.034288	7571.420566
4	127	59009676	4.904873	1.306331	26.075583	452.415283	0.005142	0.127098	0.047057	7614.471648
4	141	76631340	14.885888	1.221103	21.288106	448.343628	0.08845	0.028514	0.053851	7657.289074
4	126	99355487	8.650932	1.461218	25.867233	1033.451172	0.098607	0.127922	0.058223	7601.08402
4	138	137674493	46.171646	1.01508	15.370765	908.26123	0.175353	0.003838	0.074632	7645.179259
4	128	120821250	0.137933	1.637975	9.147938	643.466492	0.513945	0.031944	0.021996	7599.698667
4	125	52977608	23.335383	1.313814	16.398675	1144.93335	0.280436	0.003406	0.065111	7640.711433
4	134	122315061	15.060768	1.269205	21.520605	2096.32666	0.362836	0.051216	0.063633	7656.382996
